# SUPERMICRO-HEALTH-MIB list of identifiers (generated by smidump 0.4.8)

SUPERMICRO-HEALTH-MIB SMHealthInfoTypes                      type        
SUPERMICRO-SSM-MIB    trapChassisIntrusion                   notification 1.3.6.1.4.1.10876.100.3.0.403
SUPERMICRO-SSM-MIB    trapStorageSMARTCheckNormal            notification 1.3.6.1.4.1.10876.100.3.0.601
SUPERMICRO-SSM-MIB    trapStorageSMARTCheckWarning           notification 1.3.6.1.4.1.10876.100.3.0.602
SUPERMICRO-SSM-MIB    trapStorageSMARTCheckCritical          notification 1.3.6.1.4.1.10876.100.3.0.603
SUPERMICRO-SSM-MIB    trapPowerSupplyNormal                  notification 1.3.6.1.4.1.10876.100.3.0.701
SUPERMICRO-SSM-MIB    trapPowerSupplyWarning                 notification 1.3.6.1.4.1.10876.100.3.0.702
SUPERMICRO-SSM-MIB    trapPowerSupplyCritical                notification 1.3.6.1.4.1.10876.100.3.0.703
SUPERMICRO-SSM-MIB    trapMemoryCeccNormal                   notification 1.3.6.1.4.1.10876.100.3.0.801
SUPERMICRO-SSM-MIB    trapMemoryCeccWarning                  notification 1.3.6.1.4.1.10876.100.3.0.802
SUPERMICRO-SSM-MIB    trapMemoryCeccCritical                 notification 1.3.6.1.4.1.10876.100.3.0.803
SUPERMICRO-SSM-MIB    trapMemoryUeccNormal                   notification 1.3.6.1.4.1.10876.100.3.0.901
SUPERMICRO-SSM-MIB    trapMemoryUeccWarning                  notification 1.3.6.1.4.1.10876.100.3.0.902
SUPERMICRO-SSM-MIB    trapMemoryUeccCritical                 notification 1.3.6.1.4.1.10876.100.3.0.903
SUPERMICRO-SSM-MIB    trapGenericNormal                      notification 1.3.6.1.4.1.10876.100.3.0.1001
SUPERMICRO-SSM-MIB    trapGenericWarning                     notification 1.3.6.1.4.1.10876.100.3.0.1002
SUPERMICRO-SSM-MIB    trapGenericCritical                    notification 1.3.6.1.4.1.10876.100.3.0.1003
SUPERMICRO-SSM-MIB    trapBbpStatusNormal                    notification 1.3.6.1.4.1.10876.100.3.0.1101
SUPERMICRO-SSM-MIB    trapBbpStatusWarning                   notification 1.3.6.1.4.1.10876.100.3.0.1102
SUPERMICRO-SSM-MIB    trapBbpStatusCritical                  notification 1.3.6.1.4.1.10876.100.3.0.1103
SUPERMICRO-SSM-MIB    trapCpuFaultNormal                     notification 1.3.6.1.4.1.10876.100.3.0.1201
SUPERMICRO-SSM-MIB    trapCpuFaultWarning                    notification 1.3.6.1.4.1.10876.100.3.0.1202
SUPERMICRO-SSM-MIB    trapCpuFaultCritical                   notification 1.3.6.1.4.1.10876.100.3.0.1203
SUPERMICRO-SSM-MIB    trapStorageAdapterStatusNormal         notification 1.3.6.1.4.1.10876.100.3.0.1301
SUPERMICRO-SSM-MIB    trapStorageAdapterStatusWarning        notification 1.3.6.1.4.1.10876.100.3.0.1302
SUPERMICRO-SSM-MIB    trapStorageAdapterStatusCritical       notification 1.3.6.1.4.1.10876.100.3.0.1303
SUPERMICRO-SSM-MIB    smSSMTrapMIB                           node         1.3.6.1.4.1.10876.100.4
SUPERMICRO-SSM-MIB    trapGenericHostStatusNormal            notification 1.3.6.1.4.1.10876.100.4.0.101
SUPERMICRO-SSM-MIB    trapGenericHostStatusDown              notification 1.3.6.1.4.1.10876.100.4.0.102
SUPERMICRO-SSM-MIB    trapGenericHostStatusUnreachable       notification 1.3.6.1.4.1.10876.100.4.0.103
SUPERMICRO-SSM-MIB    trapGenericServiceStatusNormal         notification 1.3.6.1.4.1.10876.100.4.0.201
SUPERMICRO-SSM-MIB    trapGenericServiceStatusWarning        notification 1.3.6.1.4.1.10876.100.4.0.202
SUPERMICRO-SSM-MIB    trapGenericServiceStatusCritical       notification 1.3.6.1.4.1.10876.100.4.0.203
SUPERMICRO-SSM-MIB    trapGenericServiceStatusUnknown        notification 1.3.6.1.4.1.10876.100.4.0.204
